Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription,ListOfKeysWithDuplicate,ListOfKeysWithNoplicate,ListOfKeys
AABREV,AAB,Abbreviation,Supervisor,,,,,__||__,ABREV(Abbreviation) +   __||__ MOT(Word) +   ,ABREV(Abbreviation) +    __||__   MOT(Word) +   
ABANK,ABN,Bank sort codes,Supervisor,,,,TABCOUNTRY  (Country table  ),,CRY(Cnty) +   BAN(Bank) +   ,CRY(Cnty) +   BAN(Bank) +   
ADELIVER,ADLV,Deliverable,Supervisor,,,,"TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  ) , TABCUR  (Currency table  )",,COD(Code) +   ,COD(Code) +   
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,,,"ABATCAL  (Batch server calendar  ) , ABATABT  (Batch server (recurring tasks)  ) , ADOSSIER  (Folder table  ) , ABATGRP  (Batch server (groups)  ) , TABLAN  (Language table  ) , ABATTAC  (Batch server (tasks)  )",,CODABT(Recurring task code) +   ,CODABT(Recurring task code) +   
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,,,"ABATABT  (Batch server (recurring tasks)  ) , ABATTAC  (Batch server (tasks)  )",,CODABT(Recurring task code) +   CODTAC(Task code) +   LIG(Line number) +   NUM(Number) +   PARAM(Parameter) +   ,CODABT(Recurring task code) +   CODTAC(Task code) +   LIG(Line number) +   NUM(Number) +   PARAM(Parameter) +   
ADOSSIER,ADS,Folder table,Supervisor,,,,"TABCOUNTRY  (Country table  ) , ADOSSIER  (Folder table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  )",,DOSSIER(Folder) +   ,DOSSIER(Folder) +   
ABATABTD2,A22,Batch server (recurring tasks),Development,,,,,,CODABT +   CODTAC +   LIG +   NUM +   ,CODABT +   CODTAC +   LIG +   NUM +   
ABATCAL,ABC,Batch server calendar,Supervisor,,,,ABATCAL  (Batch server calendar  ),,COD(Calendar) +   ,COD(Calendar) +   
ALNKSUB,ALB,Subdivision links,Supervisor,,,,TABCOUNTRY  (Country table  ),__||__COD(Code) +   CRY(Country) +   TYP(Subdivision) +   ,CRY(Country) +   TYP(Subdivision) +   POS(Postal code) +   __||__ ,CRY(Country) +   TYP(Subdivision) +   POS(Postal code) +    __||__   COD(Code) +   CRY(Country) +   TYP(Subdivision) +   
ABATGRP,ABG,Batch server (groups),Supervisor,,,,"ABATGRP  (Batch server (groups)  ) , ABATTAC  (Batch server (tasks)  ) , ABATHOR  (Hourly constraints  )",,CODGRP(Group) +   ,CODGRP(Group) +   
