Table V9.0,fnGetKeys.Key,fnGetKeys.Description,fnGetKeys.Duplicates,fnGetKeys.Activity code
AABREV,AAB0,ABREV,No,
AABREV,AAB1,MOT,No,
ABANK,ABN0,CRY+BAN,No,
ABATABT,CODABT,CODABT,No,
ABATABTD,ABD0,CODABT+CODTAC+LIG+NUM+PARAM,No,
ABATABTD2,ABD0,CODABT+CODTAC+LIG+NUM,No,
ABATCAL,ABC0,COD,No,
ABATGRP,ABG0,CODGRP,No,
ABATHOR,ABH0,COD,No,
ABATPAR,SPOOL,SPOOL,No,
ABATRQT,NUMREQ,NUMREQ,No,
ABATRQT,PRIO,DAT+HEURE+NUMREQ,No,
ABATRQT,FLAG,FLAG+NUMREQ,No,
ABATRQT,FLAG2,FLAG+DAT+HEURE+NUMREQ,No,
ABATRQT2,NUMREQ,NUMREQ,No,
ABATRQT2,PRIO,DAT+HEURE+NUMREQ,No,
ABATRQTL,NUMREQ,NUMREQ+NUM+PARAM,No,
ABATTAC,CODTAC,CODTAC,No,
ABICOND,AII0,COD,No,
ABICOND,AII1,ORD+COD,No,
ABICOND,AII2,ABM+CODABF+COD,No,
ABIDATMRT,ABM0,COD,No,
ABIDATMRT,ABM1,ABR,Yes,
ABIDATWRH,ABW0,COD,No,
ABIDIM,ABI0,CODDIM,No,
ABIDIMFLD,ABJ0,CODDIM+NUMDIM+FLDDIM,No,
ABIDIMFLD,ABJ1,CODDIM+FLDDIM,No,
ABIDIMFLD,DICO,FLDDIM,Yes,
ABIHIERA,AHH0,COD,No,
ABIHIERA,AHH1,ABM+COD,No,
ABIPRFUSR,AIU0,PRF,No,
ABIREGDES,ABY0,CODREG+NUMDES,No,
ABIREGDES,ABY1,CODREG+FLDDES,No,
ABIREGDES,ABY2,CODREG+TABDES+NUMDES,No,
ABIREGORG,ABV0,CODREG,No,
ABIREGORG,ABV1,TABORG+CODREG,No,
ABIREPORT,ABO0,COD,No,
ABIREPORT,ABO1,REPCOD+COD,No,
ABIREPORT,ABO2,DATAM+COD,Yes,
ABIREPORTD,ABQ0,COD+LIG,No,
ABIREPORTID,ABOID0,COD+DATAW+LAN,No,
ABITABAGG,ABE0,CODABF+NUMAGG+CODAGG,No,
ABITABAGG,ABE1,CODABF+CODAGG,No,
ABITABDAT,ABF0,CODABF,No,
ABITABFLD,ABZ0,CODABF+NUMFLD+CODFLD,No,
ABITABFLD,ABZ1,CODABF+CODFLD,No,
ABITABFLD,DICO,CODFLD,Yes,
ABITABIND,ABX0,CODABF+NUMIND,No,
ABITABLNK,ABK0,CODABF+NUMLNK,No,
ABITRAUNV,ATV0,ABM+RAPORT+LANTRA+TEXTE,No,
ABITRAUNV,ATV1,ABM+RAPORT+LANTRA+TYPERR+TEXTE,No,
ABLBSYS,ASB0,CAT+CODFIC,No,
ABLOB,ABB0,CODBLB+IDENT1+IDENT2+IDENT3,No,
ACALCUL,AKL0,USR+NUM,No,
ACCCOD,ACS0,CODACC,No,
ACCES,CODACC,USR+CODACC,Yes,
ACCES,PRFCOD,PRFCOD+CODACC+USR,No,
ACHANGE,ACG0,COD+LIG,No,
ACLACOL,ACLAC0,CODCLA+CODCOL,No,
ACLAFLD,ACLAF0,CODCLA+FLDCLA,No,
ACLAFLD,ACLAF1,CODCLA+NUMLIG+FLDCLA,No,
ACLAFLD,ACLAF2,CODCLA+NUMFLD+NUMLIG+FLDCLA,No,
ACLALNK,ACLAK0,CODCLA+REFLNK,No,
ACLALNK,ACLAK1,CODCLA+NUMLIG+REFLNK,No,
ACLAMAP,ACLAKP0,CODCLA+REFLNK+KEYMAP,No,
ACLAMET,ACLAM0,CODCLA+CODMET,No,
ACLAMET,ACLAM1,CODCLA+NOMET+CODMET,No,
ACLAMETSTD,ACLAT0,CODCLA+CODMETSTD,No,
ACLAMETSTD,ACLAT1,CODCLA+NOMETSTD+CODMETSTD,No,
ACLAOPT,ACLAO0,CODCLA+OPTCOD,No,
ACLAPARDEF,ACLPD0,CODCLA+CODE+CODPAR,No,
ACLAPARDEF,ACLPD1,CODCLA+CODE+NOPAR+CODPAR,Yes,
ACLAPARFLD,ACLFP0,CODCLA+TYPPAR+TYPKEY+FLDCLA+CODPAR,No,
ACLAPARFLD,ACLFP1,CODCLA+TYPPAR+TYPKEY+FLDCLA+NUMPAR,Yes,
ACLASSE,ACLA0,CODCLA,No,
ACLBSYS,ASA0,CAT+CODFIC,No,
ACLOB,ACB0,CODBLB+IDENT1+IDENT2+IDENT3,No,
ACODIF,ACO0,ABB,No,
ACODIF,ACO1,ENGDES,Yes,
ACODIF,ACO2,FREDES,Yes,
ACODNUM,ANM0,CODNUM,No,
ACONSTANT,ACST0,CODVAR,No,
ACONSTANT,ACST1,CATEG+CODVAR,No,
ACONSULT,ACN0,COD,No,
ACONTEXT,ACTX0,CODCTX,No,
ACONTEXT,ACTX1,CHAPTER+RANG+CODCTX,No,
ACONTEXT,ACTX2,PARAM+CODCTX,No,
ACTCODPAR,CODPAR,CODPAR,No,
ACTION,ACTION,ACTION,No,
ACTIV,CODACT,CODACT,No,
ACTIV,ACV1,MODULE+CODACT,No,
ACTIV,ACV2,ORDRE+CODACT,No,
ACTL,ACL0,CTL,No,
ACTLDEV,ACD0,COD,No,
ACTPAR,NOPAR,ACTION+NOPAR,No,
ACTPAR,CODPAR,CODPAR,Yes,
ADELETE,ADL0,NUM,No,
ADELETE,ADL1,OBJ+CLE1+CLE2,No,
ADELIVER,ADLV0,COD,No,
ADELIVERB,ADLB0,COD+CODFNC+CODBDG,No,
ADELIVERB,ADLB1,COD+CODBDG+CODFNC,No,
ADELIVERD,ADLD0,COD+CODACT,No,
ADELIVERL,ADLL0,COD+FNCLIM,No,
ADELIVERO,ADLO0,COD+TABCOD+TABKEY,No,
ADELIVERO,ADLO1,COD+TABCOD+TABAWM,Yes,
ADELIVERP,ADLP0,COD+PARAM+CLEPARAM,No,
ADELIVERR,ADLR0,COD+CODASW+CODBDG,No,
ADELIVERT,ADLT0,COD+CODSES+CODDVC,No,
ADICTRT,ADC0,CODTRT,No,
ADIMENSION,ADM0,COD,No,
ADIMENSION,ADM1,ORDRE+COD,No,
ADOCBLB,ADB0,LAN+TYP+COD+LEV+SUBLEV+LIG,No,
ADOCCLB,ADH0,LAN+TYP+COD+LEV+SUBLEV,No,
ADOCFLD,ADZ0,LAN+MOTCLE,No,
ADOCFLD,ADZ1,MOTCLE+LAN,No,
ADOCFNC,ADF0,TYP+COD+NUM,No,
ADOCUMENT,ADO0,LAN+TYP+COD+LEV+SUBLEV,No,
ADOCUMENT,ADO1,LAN+TYP+COD+PAR,Yes,
ADOCUMENT,ADO2,COD+LEV+SUBLEV,Yes,
ADOCUMENT,ADO3,TYP+COD+LEV+SUBLEV,Yes,
